Nr.	Qrel	t
0	44	14:42:52
1	44	14:47:53
2	43	14:52:53
3	44	14:57:53
4	44	15:02:53
5	43	15:07:53
6	44	15:12:53
7	43	15:17:53
8	43	15:22:54
9	43	15:27:54
10	44	15:32:55
11	44	15:37:55
12	44	15:42:55
13	44	15:47:55
14	43	15:52:55
15	44	15:57:55
16	43	16:02:55
17	43	16:07:55
18	43	16:12:55
19	43	16:17:55
20	42	16:22:55
21	42	16:27:55
22	42	16:32:55
23	42	16:37:55
24	42	16:42:55
25	43	16:47:55
26	42	16:52:56
27	42	16:57:56
28	43	17:02:56
29	42	17:07:56
30	43	17:12:56
31	41	17:17:56
32	42	17:22:56
33	43	17:27:56
34	42	17:32:56
35	42	17:37:57
36	41	17:42:57
37	43	17:47:57
38	42	17:52:57
39	42	17:57:57
40	41	18:02:57
41	42	18:07:57
42	42	18:12:57
43	41	18:17:57
44	41	18:22:57
45	42	18:27:57
46	42	18:32:57
47	42	18:37:57
48	40	18:42:57
49	42	18:47:57
50	42	18:52:57
51	42	18:57:57
52	41	19:02:58
53	40	19:07:58
54	40	19:12:58
55	41	19:17:58
56	41	19:22:58
57	41	19:27:58
58	40	19:32:58
59	40	19:37:59
60	40	19:42:59
61	41	19:47:59
62	40	19:52:59
63	40	19:57:59
64	41	20:02:59
65	40	20:07:59
66	39	20:12:59
67	40	20:17:59
68	39	20:23:00
69	40	20:28:00
70	40	20:33:00
71	39	20:38:00
72	40	20:43:00
73	40	20:48:00
74	39	20:53:00
75	39	20:58:00
76	39	21:03:01
77	39	21:08:01
78	39	21:13:01
79	39	21:18:01
80	39	21:23:02
81	39	21:28:02
82	39	21:33:02
83	39	21:38:02
84	40	21:43:02
85	39	21:48:02
86	38	21:53:02
87	39	21:58:02
88	39	22:03:02
89	39	22:08:02
90	39	22:13:02
91	39	22:18:02
92	39	22:23:02
93	39	22:28:02
94	39	22:33:02
95	39	22:38:02
96	39	22:43:03
97	38	22:48:03
98	39	22:53:03
99	39	22:58:03
100	38	23:03:03
101	37	23:08:03
102	38	23:13:03
103	38	23:18:03
104	39	23:23:03
105	38	23:28:03
106	37	23:33:03
107	38	23:38:03
108	38	23:43:03
109	37	23:48:03
110	37	23:53:03
111	38	23:58:03
112	38	00:03:03
113	37	00:08:03
114	38	00:13:03
115	38	00:18:03
116	37	00:23:04
117	37	00:28:04
118	37	00:33:04
119	37	00:38:04
120	38	00:43:04
121	37	00:48:04
122	37	00:53:04
123	37	00:58:04
124	36	01:03:04
125	36	01:08:05
126	37	01:13:05
127	36	01:18:05
128	37	01:23:05
129	36	01:28:05
130	37	01:33:05
131	36	01:38:05
132	37	01:43:05
133	37	01:48:06
134	37	01:53:06
135	37	01:58:06
136	37	02:03:06
137	36	02:08:06
138	36	02:13:07
139	36	02:18:07
140	36	02:23:07
141	35	02:28:07
142	36	02:33:08
143	35	02:38:08
144	36	02:43:08
145	36	02:48:08
146	36	02:53:08
147	36	02:58:08
148	35	03:03:08
149	36	03:08:08
150	35	03:13:09
151	36	03:18:09
152	36	03:23:09
153	36	03:28:09
154	36	03:33:09
155	36	03:38:09
156	36	03:43:09
157	35	03:48:09
158	35	03:53:10
159	35	03:58:10
160	35	04:03:10
161	36	04:08:10
162	36	04:13:11
163	36	04:18:11
164	34	04:23:11
165	35	04:28:11
166	35	04:33:11
167	35	04:38:11
168	34	04:43:11
169	35	04:48:11
170	34	04:53:11
171	34	04:58:11
172	34	05:03:12
173	34	05:08:12
174	35	05:13:12
175	34	05:18:12
176	34	05:23:12
177	34	05:28:12
178	35	05:33:12
179	34	05:38:12
180	34	05:43:12
181	34	05:48:12
182	34	05:53:12
183	34	05:58:12
184	34	06:03:12
185	34	06:08:12
186	34	06:13:12
187	34	06:18:12
188	33	06:23:12
189	34	06:28:12
190	34	06:33:12
191	34	06:38:13
192	34	06:43:13
193	34	06:48:13
194	34	06:53:13
195	33	06:58:14
196	33	07:03:14
197	33	07:08:14
198	33	07:13:14
199	33	07:18:15
200	33	07:23:15
201	33	07:28:15
202	33	07:33:15
203	33	07:38:15
204	34	07:43:15
205	33	07:48:15
